,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
0,Condo for sale,315000,2,2.0,1400.0,40.761,-73.974,7.244941546337007,12.660331092405906,2.0,Manhattan,New York County
1,Condo for sale,195000000,7,10.0,17545.0,40.766,-73.981,9.113388845899733,16.929025911619092,10.0,Manhattan,New York County
2,House for sale,260000,4,2.0,2015.0,40.542,-74.196,7.60887062919126,12.468440756144114,2.0,Woodrow,Richmond County
3,Condo for sale,69000,3,1.0,445.0,40.761,-73.975,6.111467339502679,11.813037464800539,1.0,Manhattan,New York County
4,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,40.767,-73.97,9.113388845899733,16.929025911619092,2.0,Manhattan,New York County
5,House for sale,690000,5,2.0,4004.0,40.674,-73.959,8.29529885950246,13.444448325847754,2.0,Crown Heights,Kings County
6,Condo for sale,899500,2,2.0,1100.0,40.809,-73.947,7.00397413672268,13.709595444100845,2.0,Manhattan,New York County
7,Co-op for sale,265000,1,1.0,750.0,40.822,-73.874,6.621405651764134,12.487488878546145,1.0,East Bronx,Bronx County
8,Co-op for sale,440000,2,1.0,978.0,40.616,-73.97,6.88653164253051,12.994532278619134,1.0,Midwood,Kings County
9,Co-op for sale,375000,2,1.0,850.0,40.825,-73.923,6.7464121285733745,12.834683971615659,1.0,Concourse Village,Bronx County
10,Townhouse for sale,689000,3,2.3738608579684373,1162.0,40.625,-74.155,7.0587581525186645,13.442998001373553,2.0,Mid Island,Richmond County
11,Co-op for sale,259000,3,1.0,900.0,40.753,-73.882,6.803505257608338,12.464587201678082,1.0,Jackson Heights,Queens County
12,Co-op for sale,430000,2,2.0,900.0,40.744,-73.875,6.803505257608338,12.971542813248437,2.0,Elmhurst,Queens County
13,Co-op for sale,895000,3,1.0,900.0,40.738,-74.006,6.803505257608338,13.704580114574805,1.0,Manhattan,New York County
14,Condo for sale,549000,2,2.0,1000.0,40.541,-74.167,6.90875477931522,13.215855541983634,2.0,Annadale,Richmond County
15,Townhouse for sale,975000,3,2.0,1734.0,40.761,-73.906,7.45876269238096,13.790193775620484,2.0,Flushing,Queens County
16,Co-op for sale,199000,3,1.0,325.0,40.618,-74.037,6.111467339502679,12.201065128819632,1.0,Fort Hamilton,Kings County
17,Co-op for sale,350000,1,1.0,700.0,40.907,-73.907,6.55250788703459,12.765691290604371,1.0,New York,
18,Condo for sale,599000,2,2.0,974.0,40.732,-73.867,6.882437470997847,13.303018546545275,2.0,Rego Park,Queens County
19,House for sale,639999,3,2.0,1260.0,40.621,-74.111,7.13966033596492,13.369223455335854,2.0,Castleton Corners,Richmond County
20,Condo for sale,1300000,2,2.0,1244.0,40.72,-73.843,7.126890808898808,14.077875591662238,2.0,Forest Hills,Queens County
21,Multi-family home for sale,1100000,6,3.0,2837.0,40.834,-73.822,7.950854857719988,13.910821646859095,3.0,East Bronx,Bronx County
22,Condo for sale,349900,1,1.0,651.0,40.59,-74.096,6.480044561926653,12.765405536311112,1.0,Dongan Hills,Richmond County
23,House for sale,750000,2,2.0,1330.0,40.504,-74.24,7.193685818395112,13.527829818844937,2.0,Tottenville,Richmond County
24,Multi-family home for sale,1690000,6,4.0,2200.0,40.711,-73.809,7.696667081526462,14.340239678615058,4.0,Briarwood,Queens County
25,Co-op for sale,325000,1,1.0,900.0,40.751,-73.885,6.803505257608338,12.691583538230217,1.0,Jackson Heights,Queens County
26,Co-op for sale,230000,1,1.0,900.0,40.756,-73.873,6.803505257608338,12.345838935721968,1.0,Jackson Heights,Queens County
27,Multi-family home for sale,1299888,10,6.0,3156.0,40.616,-74.087,8.057377488557991,14.077789434170906,6.0,Clifton,Richmond County
28,Multi-family home for sale,925000,5,2.0,2750.0,40.824,-73.817,7.919719760924575,13.73755009757506,2.0,East Bronx,Bronx County
29,Condo for sale,329000,1,2.0,794.0,40.621,-74.15,6.678342114654332,12.703816069256568,2.0,Mid Island,Richmond County
30,Multi-family home for sale,1300000,10,8.0,5040.0,40.627,-74.158,8.525359754082631,14.077875591662238,8.0,Mariners Harbor,Richmond County
31,Multi-family home for sale,848000,5,4.0,2080.0,40.662,-73.898,7.640603826393634,13.650637094018627,4.0,East New York,Kings County
32,Co-op for sale,279000,1,1.0,750.0,40.618,-73.955,6.621405651764134,12.53897064502647,1.0,Midwood,Kings County
33,Condo for sale,528000,1,1.0,602.0,40.628,-74.002,6.401917196727186,13.176853456625999,1.0,Dyker Heights,Kings County
34,Co-op for sale,275000,1,1.0,900.0,40.753,-73.821,6.803505257608338,12.524530013005734,1.0,Flushing,Queens County
35,Condo for sale,1165000,1,1.0,815.0,40.712,-73.965,6.704414354964107,13.968232503350668,1.0,Williamsburg,Kings County
36,Multi-family home for sale,1199000,6,5.0,3290.0,40.516,-74.236,8.098946748943339,13.99699926803766,5.0,Tottenville,Richmond County
37,Multi-family home for sale,700000,6,2.0,3053.0,40.853,-73.918,8.024207485778577,13.45883704259595,2.0,Morris Heights,Bronx County
38,Multi-family home for sale,2150000,8,4.0,3200.0,40.614,-73.98,8.071218539969863,14.580978865220017,4.0,Mapleton,Kings County
39,Multi-family home for sale,1280000,7,5.0,2460.0,40.688,-73.856,7.8083230503910555,14.062371417145494,5.0,Woodhaven,Queens County
40,Co-op for sale,199900,1,1.0,900.0,40.826,-73.926,6.803505257608338,12.20557752297723,1.0,Concourse,Bronx County
41,Co-op for sale,369000,2,1.0,900.0,40.753,-73.821,6.803505257608338,12.818554633046093,1.0,Flushing,Queens County
42,Multi-family home for sale,699000,4,3.0,1591.0,40.685,-73.803,7.3727463664043285,13.457407451830088,3.0,Jamaica,Queens County
43,Co-op for sale,4250000,3,2.0,2400.0,40.725,-74.0,7.783640596221253,15.26242977619469,2.0,Manhattan,New York County
44,Multi-family home for sale,825000,2,2.0,2680.0,40.768,-73.789,7.893945138235959,13.623139877437296,2.0,Flushing,Queens County
45,Condo for sale,329000,2,1.0,837.0,40.632,-74.086,6.731018100482083,12.703816069256568,1.0,Mid Island,Richmond County
46,Multi-family home for sale,889000,2,2.0,1520.0,40.623,-74.126,7.327123292259293,13.697853639354802,2.0,Castleton Corners,Richmond County
47,Multi-family home for sale,769000,2,2.0,2680.0,40.687,-73.831,7.893945138235959,13.552847548877052,2.0,South Richmond Hill,Queens County
48,Multi-family home for sale,1200000,4,2.0,2536.0,40.604,-74.001,7.838737559599282,13.997832948091215,2.0,Bath Beach,Kings County
49,Co-op for sale,220500,2,1.0,900.0,40.648,-74.085,6.803505257608338,12.303657509006147,1.0,Mid Island,Richmond County
50,Multi-family home for sale,1999000,3,3.0,2739.0,40.628,-74.03,7.9157131993821155,14.508158113732536,3.0,Bay Ridge,Kings County
51,Co-op for sale,3250000,2,2.0,1300.0,40.72,-73.998,7.170888478512505,14.99416586199818,2.0,Manhattan,New York County
52,Condo for sale,1650000,2,2.0,1267.0,40.687,-74.0,7.145196134997171,14.316286451937186,2.0,Cobble Hill,Kings County
53,Multi-family home for sale,1049000,4,4.0,2554.0,40.502,-74.242,7.845807502637805,13.863348840666827,4.0,Tottenville,Richmond County
54,House for sale,998800,3,4.0,2400.0,40.618,-74.104,7.783640596221253,13.814310838588696,4.0,Sunnyside,Richmond County
55,House for sale,998800,3,4.0,2400.0,40.619,-74.102,7.783640596221253,13.814310838588696,4.0,Sunnyside,Richmond County
56,For sale,3150000,3,2.0,1952.0,40.675,-73.974,7.577121930876679,14.962913328262083,2.0,Park Slope,Kings County
57,Co-op for sale,849000,1,1.0,900.0,40.78,-73.985,6.803505257608338,13.651815643149092,1.0,Manhattan,New York County
58,Co-op for sale,559500,1,1.0,800.0,40.575,-73.967,6.68586094706836,13.234800594042618,1.0,Brighton Beach,Kings County
59,Co-op for sale,750000,1,1.0,835.0,40.764,-73.959,6.728628613084702,13.527829818844937,1.0,Manhattan,New York County
60,Condo for sale,1900000,2,2.0,1029.0,40.719,-73.986,6.937314081223682,14.45736497045232,2.0,Manhattan,New York County
61,Condo for sale,1250000,2,2.0,1201.0,40.64,-73.968,7.091742115095153,14.038654909278163,2.0,Flatbush,Kings County
62,Condo for sale,1395000,2,2.0,1182.0,40.679,-73.964,7.075808863978387,14.148405690083225,2.0,Prospect Heights,Kings County
63,Co-op for sale,198000,1,1.0,900.0,40.7,-73.854,6.803505257608338,12.19602736016897,1.0,Woodhaven,Queens County
64,Contingent,619888,3,2.0,1400.0,40.563,-74.1,7.244941546337007,13.337295708735022,2.0,New Dorp Beach,Richmond County
65,Multi-family home for sale,1489000,6,2.3738608579684373,3780.0,40.54,-74.145,8.237743803890933,14.213615983257593,2.0,Great Kills,Richmond County
66,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,40.777,-73.963,9.113388845899733,16.929025911619092,2.0,Manhattan,New York County
67,Condo for sale,1595000,3,3.0,1413.0,40.692,-73.935,7.254177846456518,14.282384921160133,3.0,Bedford-Stuyvesant,Kings County
68,Condo for sale,655000,3,2.0,803.0,40.697,-73.907,6.6895992691789665,13.39239204133378,2.0,Bushwick,Kings County
69,Condo for sale,1175000,2,2.0,1115.0,40.692,-73.935,7.017506142941256,13.976779556623864,2.0,Bedford-Stuyvesant,Kings County
70,Multi-family home for sale,2880000,9,2.3738608579684373,2350.0,40.783,-73.797,7.762596048540069,14.873301199334291,2.0,Flushing,Queens County
71,Multi-family home for sale,798000,3,4.0,2150.0,40.587,-74.07,7.67368812926773,13.589865129563993,4.0,South Beach,Richmond County
72,Land for sale,1685000,3,2.3738608579684373,950.0,40.708,-73.908,6.85751406254539,14.337276715240233,2.0,Ridgewood,Queens County
73,Condo for sale,31000000,3,4.0,4492.0,40.765,-73.978,8.41027590907016,16.929025911619092,4.0,Manhattan,New York County
74,Land for sale,2550000,3,2.3738608579684373,950.0,40.579,-73.966,6.85751406254539,14.751604309291395,2.0,Brighton Beach,Kings County
75,Land for sale,119000,3,2.3738608579684373,950.0,40.884,-73.839,6.85751406254539,11.813037464800539,2.0,Edenwald,Bronx County
76,Foreclosure,269000,5,2.0,2318.0,40.653,-73.741,7.7488913372555315,12.502470376049185,2.0,Jamaica,Queens County
77,Condo for sale,1650000,2,2.0,1065.0,40.783,-73.95,6.97166860472579,14.316286451937186,2.0,Manhattan,New York County
78,Townhouse for sale,12950000,5,4.0,3344.0,40.736,-74.002,8.11522197256233,16.376606423329896,4.0,Manhattan,New York County
79,Condo for sale,5750000,3,2.0,2223.0,40.737,-73.982,7.707062655370473,15.564710586686562,2.0,Manhattan,New York County
80,Multi-family home for sale,250000,5,2.0,2680.0,40.669,-73.789,7.893945138235959,12.429220196836383,2.0,Jamaica,Queens County
81,Pending,950000,6,2.3738608579684373,3384.0,40.65,-73.735,8.127109185346375,13.76421831620775,2.0,Rosedale,Queens County
82,House for sale,585000,3,2.0,1100.0,40.578,-74.105,7.00397413672268,13.279368835614243,2.0,Midland Beach,Richmond County
83,House for sale,8750000,6,6.0,1728.0,40.628,-74.038,7.455298485683291,15.984564372619506,6.0,Bay Ridge,Kings County
84,House for sale,595000,3,1.0,1316.0,40.624,-73.929,7.183111701743281,13.296318365198623,1.0,Flatlands,Kings County
85,Condo for sale,215000,1,1.0,625.0,40.727,-74.003,6.439350371100098,12.278397958261774,1.0,Manhattan,New York County
86,For sale,950000,1,1.0,621.0,40.799,-73.968,6.432940092739179,13.76421831620775,1.0,Manhattan,New York County
87,House for sale,314000,3,1.0,1572.0,40.636,-73.94,7.360739903058278,12.657151449598695,1.0,East Flatbush,Kings County
88,Condo for sale,395000,5,1.0,1000.0,40.77,-73.964,6.90875477931522,12.886643575525625,1.0,Manhattan,New York County
89,Multi-family home for sale,600000,2,2.0,2680.0,40.843,-73.825,7.893945138235959,13.304686600863562,2.0,East Bronx,Bronx County
90,Multi-family home for sale,790000,6,3.0,2520.0,40.611,-74.127,7.83241092718792,13.579789490265188,3.0,Castleton Corners,Richmond County
91,Co-op for sale,539000,2,2.0,1100.0,40.617,-74.038,7.00397413672268,13.197472705176983,2.0,Fort Hamilton,Kings County
92,Co-op for sale,1295000,4,2.0,1995.0,40.881,-73.922,7.59890045687141,14.07402202531625,2.0,Spuyten Duyvil,Bronx County
93,House for sale,245000,3,1.0,1728.0,40.869,-73.856,7.455298485683291,12.409017571151187,1.0,Laconia,Bronx County
94,House for sale,400000,7,3.0,2385.0,40.897,-73.865,7.777373602657861,12.899222326086994,3.0,East Bronx,Bronx County
95,House for sale,55000000,8,8.0,12000.0,40.782,-73.985,9.113388845899733,16.929025911619092,8.0,Manhattan,New York County
96,Co-op for sale,280000,1,1.0,1000.0,40.624,-74.022,6.90875477931522,12.54254845357358,1.0,Bay Ridge,Kings County
97,House for sale,899000,3,2.0,1440.0,40.516,-74.231,7.273092595999522,13.70903942580019,2.0,Tottenville,Richmond County
98,For sale,2280000,2,2.0,1400.0,40.799,-73.968,7.244941546337007,14.639686439527019,2.0,Manhattan,New York County
99,Coming Soon,649000,4,3.0,2250.0,40.681,-73.998,7.719129840906732,13.38318953651709,3.0,Carroll Gardens,Kings County
100,Pending,739000,6,4.0,1566.0,40.588,-73.922,7.356918242356021,13.513054553109397,4.0,Gerritsen Beach,Kings County
101,House for sale,1495000,4,2.3738608579684373,3000.0,40.525,-74.168,8.006700845440367,14.217637433703022,2.0,Southeast Annadale,Richmond County
102,House for sale,3950000,5,2.0,3528.0,40.668,-73.975,8.16876982367527,15.18922639004183,2.0,Park Slope,Kings County
103,Condo for sale,325000,2,1.0,979.0,40.79,-73.949,6.887552571664617,12.691583538230217,1.0,Manhattan,New York County
104,Pending,299999,3,1.0,1566.0,40.781,-73.981,7.356918242356021,12.611537753638338,1.0,Manhattan,New York County
105,Townhouse for sale,2695000,6,5.0,4720.0,40.824,-73.947,8.459775920546287,14.80690913338268,5.0,Manhattan,New York County
106,Pending,4800000,6,2.3738608579684373,3958.0,40.618,-74.015,8.28374674710613,15.38412668421143,2.0,Dyker Heights,Kings County
107,House for sale,694000,3,3.0,1360.0,40.542,-74.156,7.215975002651466,13.450228680410094,3.0,Eltingville,Richmond County
108,House for sale,688888,4,2.0,2846.0,40.873,-73.865,7.954021087278037,13.44283543396941,2.0,Williamsbridge,Bronx County
109,House for sale,400000,4,2.0,1980.0,40.665,-73.877,7.591357046698551,12.899222326086994,2.0,East New York,Kings County
110,Multi-family home for sale,346000,5,2.0,2680.0,40.684,-73.838,7.893945138235959,12.754196944209095,2.0,Jamaica,Queens County
111,House for sale,265000,3,1.0,1728.0,40.675,-73.747,7.455298485683291,12.487488878546145,1.0,Jamaica,Queens County
112,House for sale,319000,3,2.0,1224.0,40.56,-74.102,7.110696122978827,12.672949516558306,2.0,New Dorp Beach,Richmond County
113,Townhouse for sale,24800000,6,8.0,3750.0,40.773,-73.964,8.229777750081887,16.929025911619092,8.0,Manhattan,New York County
114,House for sale,1100000,9,4.0,3276.0,40.831,-73.942,8.094683648698815,13.910821646859095,4.0,Manhattan,New York County
115,Multi-family home for sale,309000,6,2.0,2680.0,40.598,-73.763,7.893945138235959,12.6410997921206,2.0,Far Rockaway,Queens County
116,House for sale,650000,3,2.0,1522.0,40.723,-73.729,7.328437352895162,13.384729180332174,2.0,Jamaica,Queens County
117,House for sale,799000,4,2.0,1975.0,40.539,-74.193,7.588829878307813,13.591117476312084,2.0,Woodrow,Richmond County
118,Co-op for sale,259000,3,2.0,1089.0,40.825,-73.807,6.993932975223189,12.464587201678082,2.0,East Bronx,Bronx County
119,House for sale,1195000,4,4.0,2704.0,40.514,-74.204,7.902857191280582,13.993657580167481,4.0,Prince's Bay,Richmond County
120,Condo for sale,17500000,5,6.0,5499.0,40.714,-74.009,8.612503371220562,16.677711496036597,6.0,Manhattan,New York County
121,Condo for sale,189000,2,2.0,966.0,40.611,-74.06,6.874198495453294,12.149507585033072,2.0,Shore Acres,Richmond County
122,Condo for sale,759000,3,2.0,1200.0,40.788,-73.788,7.0909098220799835,13.539758373899955,2.0,Bayside,Queens County
123,House for sale,275000,4,1.0,1728.0,40.637,-73.949,7.455298485683291,12.524530013005734,1.0,Little Haiti,Kings County
124,Condo for sale,499000,1,1.0,630.0,40.77,-73.961,6.447305862541213,13.120363378739663,1.0,Manhattan,New York County
125,House for sale,1249000,3,2.3738608579684373,1728.0,40.882,-73.914,7.455298485683291,14.037854589747907,2.0,Spuyten Duyvil,Bronx County
126,Co-op for sale,69900,2,1.0,700.0,40.822,-73.811,6.55250788703459,11.813037464800539,1.0,East Bronx,Bronx County
127,Foreclosure,1749900,5,4.0,3740.0,40.824,-73.95,8.227108234348146,14.375069772870901,4.0,Manhattan,New York County
128,Co-op for sale,1399000,3,4.0,1993.0,40.757,-73.721,7.597897950521784,14.151268968443645,4.0,Glen Oaks,Queens County
129,Condo for sale,649000,3,2.0,1182.0,40.73,-73.806,7.075808863978387,13.38318953651709,2.0,Fresh Meadows,Queens County
130,House for sale,499000,5,2.0,1760.0,40.866,-73.888,7.473637108496206,13.120363378739663,2.0,West Bronx,Bronx County
131,Multi-family home for sale,1050000,5,4.0,3132.0,40.818,-73.82,8.049746290952191,13.864301674514206,4.0,East Bronx,Bronx County
132,Townhouse for sale,5000000,10,9.0,6425.0,40.783,-73.976,8.768107539675803,15.424948670398354,9.0,Manhattan,New York County
133,Pending,90000,1,1.0,660.0,40.574,-74.093,6.493753839851686,11.813037464800539,1.0,Midland Beach,Richmond County
134,Townhouse for sale,650000,3,2.3738608579684373,1638.0,40.845,-73.821,7.40184157874383,13.384729180332174,2.0,East Bronx,Bronx County
135,Condo for sale,500000,4,3.0,1794.0,40.791,-73.975,7.492760300922379,13.122365377402328,3.0,Manhattan,New York County
136,House for sale,350000,2,1.0,490.0,40.573,-74.089,6.19644412779452,12.765691290604371,1.0,Midland Beach,Richmond County
137,House for sale,1099000,4,2.0,1728.0,40.56,-73.915,7.455298485683291,13.909912143303451,2.0,Breezy Point,Queens County
138,Co-op for sale,90000,1,1.0,450.0,40.842,-73.923,6.111467339502679,11.813037464800539,1.0,Highbridge,Bronx County
139,House for sale,839000,4,2.0,1728.0,40.659,-73.845,7.455298485683291,13.639967177343745,2.0,Jamaica,Queens County
140,House for sale,659000,8,3.0,1728.0,40.689,-73.797,7.455298485683291,13.398480330934175,3.0,Jamaica,Queens County
141,House for sale,399999,3,1.0,1728.0,40.595,-73.758,7.455298485683291,12.89921982609012,1.0,Far Rockaway,Queens County
142,Condo for sale,250000,3,1.0,1100.0,40.6,-73.934,7.00397413672268,12.429220196836383,1.0,Sheepshead Bay,Kings County
143,For sale,1740000,2,2.0,1132.0,40.799,-73.968,7.0326242610280065,14.36939624590319,2.0,Manhattan,New York County
144,House for sale,650000,4,2.0,2244.0,40.697,-73.739,7.716460800176355,13.384729180332174,2.0,Cambria Heights,Queens County
145,House for sale,1165000,3,4.0,3500.0,40.54,-74.216,8.160803920954665,13.968232503350668,4.0,Woodrow,Richmond County
146,House for sale,729900,3,2.0,1150.0,40.53,-74.198,7.048386408721883,13.500664187489477,2.0,Prince's Bay,Richmond County
147,House for sale,1880000,3,4.0,3150.0,40.581,-74.006,8.055475141757274,14.446782866720884,4.0,Seagate,Kings County
148,Co-op for sale,449000,2,2.0,1549.0,40.758,-73.716,7.346010209913293,13.014780393893403,2.0,Glen Oaks,Queens County
149,House for sale,1175000,3,2.0,2250.0,40.574,-73.858,7.719129840906732,13.976779556623864,2.0,Rockaway Park,Queens County
150,Townhouse for sale,2750000,3,2.0,3750.0,40.734,-74.001,8.229777750081887,14.827111833279051,2.0,Manhattan,New York County
151,House for sale,995000,3,2.0,1728.0,40.658,-73.849,7.455298485683291,13.81049902116535,2.0,Jamaica,Queens County
152,Condo for sale,2000000,3,2.0,2000.0,40.709,-74.016,7.601402334583733,14.508658238524095,2.0,Manhattan,New York County
153,Townhouse for sale,15000000,8,6.0,3750.0,40.695,-73.993,8.229777750081887,16.52356082573315,6.0,Brooklyn Heights,Kings County
154,House for sale,2800000,4,6.0,8333.0,40.586,-74.108,9.0280988119824,14.845130332288226,6.0,Todt Hill,Richmond County
155,House for sale,2600000,5,4.0,3024.0,40.778,-73.774,8.014666370464942,14.77102238760702,4.0,Flushing,Queens County
156,Townhouse for sale,3500000,6,6.0,6000.0,40.823,-73.946,8.699681400989514,15.068273812173887,6.0,Manhattan,New York County
157,Co-op for sale,550000,1,1.0,900.0,40.789,-73.97,6.803505257608338,13.217675375388819,1.0,Manhattan,New York County
158,Pending,769000,3,4.0,1566.0,40.629,-74.152,7.356918242356021,13.552847548877052,4.0,Mariners Harbor,Richmond County
159,House for sale,675000,3,2.0,2400.0,40.61,-73.911,7.783640596221253,13.42246945133505,2.0,Mill Basin,Kings County
160,House for sale,879000,4,2.0,1238.0,40.527,-74.198,7.122059881629142,13.686541314323094,2.0,Prince's Bay,Richmond County
161,House for sale,918888,3,2.0,1728.0,40.761,-73.881,7.455298485683291,13.730920610582631,2.0,Flushing,Queens County
162,Townhouse for sale,2400000,4,2.0,1892.0,40.667,-73.983,7.545918151209323,14.690979711984754,2.0,Park Slope,Kings County
163,House for sale,1730000,6,2.3738608579684373,3024.0,40.765,-73.742,8.014666370464942,14.363632544508476,2.0,Flushing,Queens County
164,Multi-family home for sale,425000,5,2.0,2680.0,40.816,-73.888,7.893945138235959,12.959846800844963,2.0,Hunts Point,Bronx County
165,House for sale,2500000,5,2.3738608579684373,1450.0,40.768,-73.825,7.280008252884188,14.731801689838349,2.0,Flushing,Queens County
166,House for sale,998000,4,4.0,2000.0,40.515,-74.235,7.601402334583733,13.813509557297108,4.0,Tottenville,Richmond County
167,House for sale,1195000,4,4.0,2688.0,40.63,-74.101,7.896924656268864,13.993657580167481,4.0,West Brighton,Richmond County
168,House for sale,1649000,3,2.0,2052.0,40.616,-74.014,7.627057417018934,14.31568020796969,2.0,Dyker Heights,Kings County
169,House for sale,955000,4,4.0,2100.0,40.551,-74.184,7.650168700845001,13.769467666582738,4.0,Woodrow,Richmond County
170,Multi-family home for sale,949000,6,3.0,2680.0,40.677,-73.8,7.893945138235959,13.76316513133229,3.0,Jamaica,Queens County
171,House for sale,880000,3,2.0,1743.0,40.767,-73.791,7.463936604468925,13.68767832281738,2.0,Flushing,Queens County
172,Townhouse for sale,39995000,4,2.3738608579684373,10582.0,40.716,-74.01,9.113388845899733,16.929025911619092,2.0,Manhattan,New York County
173,Townhouse for sale,1250000,8,2.3738608579684373,3750.0,40.76,-73.965,8.229777750081887,14.038654909278163,2.0,Manhattan,New York County
174,Contingent,899999,3,2.0,1784.0,40.579,-74.112,7.487173694213739,13.710150042306449,2.0,Midland Beach,Richmond County
175,Condo for sale,198000,1,1.0,750.0,40.713,-73.834,6.621405651764134,12.19602736016897,1.0,Kew Gardens,Queens County
176,House for sale,549000,5,3.0,496.0,40.868,-73.837,6.208590026096629,13.215855541983634,3.0,East Bronx,Bronx County
177,House for sale,1088888,3,4.0,1320.0,40.609,-73.976,7.186144304522325,13.900668468345392,4.0,Bensonhurst,Kings County
178,House for sale,888000,4,2.0,2686.0,40.813,-73.806,7.8961806086154915,13.6967281480998,2.0,East Bronx,Bronx County
179,For sale,65000,3,1.0,230.0,40.712,-73.998,6.111467339502679,11.813037464800539,1.0,Manhattan,New York County
180,House for sale,1449999,3,2.0,1728.0,40.77,-73.901,7.455298485683291,14.187074114396758,2.0,Astoria,Queens County
181,Townhouse for sale,14900000,5,5.0,3750.0,40.776,-73.979,8.229777750081887,16.51687183802978,5.0,Manhattan,New York County
182,Coming Soon,1695000,5,2.0,2250.0,40.687,-73.926,7.719129840906732,14.343193888767015,2.0,Bedford-Stuyvesant,Kings County
183,House for sale,2499000,5,2.3738608579684373,4100.0,40.711,-73.841,8.31898612539206,14.731401609977073,2.0,Forest Hills,Queens County
184,Townhouse for sale,1970000,4,4.0,2508.0,40.697,-73.984,7.827639546366422,14.493544608328255,4.0,Bridge Plaza,Kings County
185,Co-op for sale,1895000,2,2.0,900.0,40.674,-73.974,6.803505257608338,14.45472992420301,2.0,Park Slope,Kings County
186,House for sale,689000,3,2.3738608579684373,1248.0,40.614,-74.16,7.130098510125578,13.442998001373553,2.0,Bulls Head,Richmond County
187,House for sale,649999,3,2.0,1440.0,40.58,-74.089,7.273092595999522,13.38472764187182,2.0,Midland Beach,Richmond County
188,House for sale,669000,3,2.0,864.0,40.599,-74.095,6.762729506931879,13.41354083387756,2.0,Todt Hill,Richmond County
189,House for sale,800000,3,2.0,825.0,40.622,-73.924,6.716594773520978,13.592368256649284,2.0,Flatlands,Kings County
190,Co-op for sale,2375000,1,2.0,900.0,40.725,-73.993,6.803505257608338,14.680508416503422,2.0,Manhattan,New York County
191,For sale,2400000,6,6.0,6688.0,40.674,-73.951,8.808219665118408,14.690979711984754,6.0,Crown Heights,Kings County
192,House for sale,390000,2,1.0,586.0,40.574,-74.093,6.375024819828097,12.873904582205107,1.0,Midland Beach,Richmond County
193,Condo for sale,2250000,1,1.0,1100.0,40.737,-74.005,7.00397413672268,14.626441218624949,1.0,Manhattan,New York County
194,House for sale,1450000,4,2.3738608579684373,2700.0,40.527,-74.175,7.901377353792616,14.187074804051692,2.0,Southeast Annadale,Richmond County
195,Condo for sale,725000,2,2.0,792.0,40.69,-73.906,6.675823221634848,13.493928313146206,2.0,Bushwick,Kings County
196,Co-op for sale,269000,1,1.0,900.0,40.897,-73.909,6.803505257608338,12.502470376049185,1.0,Hudson Hill,Bronx County
197,Co-op for sale,695000,2,2.0,900.0,40.765,-73.968,6.803505257608338,13.451668563394815,2.0,Manhattan,New York County
198,House for sale,1300000,3,2.0,1728.0,40.811,-73.854,7.455298485683291,14.077875591662238,2.0,Clason Point,Bronx County
199,Co-op for sale,459000,3,2.0,1250.0,40.587,-73.985,7.1316985104669115,13.036807667689546,2.0,Brooklyn,Kings County
200,House for sale,689999,3,2.0,1008.0,40.622,-74.141,6.9167150203536085,13.444446876573442,2.0,Mid Island,Richmond County
201,Co-op for sale,425000,3,2.0,1405.0,40.738,-73.858,7.2485040723706105,12.959846800844963,2.0,Corona,Queens County
202,House for sale,10000000,5,4.0,6800.0,40.765,-73.966,8.824824939175638,16.118095750958314,4.0,Manhattan,New York County
203,Co-op for sale,1525000,2,2.0,900.0,40.785,-73.983,6.803505257608338,14.23750562376114,2.0,Manhattan,New York County
204,Multi-family home for sale,1499000,9,6.0,3519.0,40.584,-73.974,8.166216268592143,14.22030944419592,6.0,Gravesend,Kings County
205,House for sale,519000,3,2.0,1480.0,40.594,-74.184,7.300472814267799,13.159661088928443,2.0,Travis - Chelsea,Richmond County
206,Co-op for sale,358000,2,1.0,900.0,40.786,-73.78,6.803505257608338,12.788291058675025,1.0,Bayside,Queens County
207,Co-op for sale,975000,3,1.0,900.0,40.746,-74.002,6.803505257608338,13.790193775620484,1.0,Manhattan,New York County
208,Co-op for sale,498000,2,1.0,975.0,40.635,-74.031,6.883462586413092,13.118357364036902,1.0,Bay Ridge,Kings County
209,Co-op for sale,385000,1,2.0,900.0,40.784,-73.776,6.803505257608338,12.861001210669146,2.0,Bayside,Queens County
210,Multi-family home for sale,999000,6,2.0,3144.0,40.845,-73.86,8.05356916913454,13.81451105863119,2.0,Van Nest,Bronx County
211,Co-op for sale,399000,1,1.0,900.0,40.753,-73.882,6.803505257608338,12.896719202134523,1.0,Jackson Heights,Queens County
212,Contingent,599000,4,4.0,2800.0,40.539,-74.142,7.937731775260109,13.303018546545275,4.0,Great Kills,Richmond County
213,House for sale,829888,4,2.3738608579684373,1800.0,40.521,-74.223,7.496097345175956,13.629047235889708,2.0,Staten Island,Richmond County
214,Townhouse for sale,699998,3,2.0,1548.0,40.595,-74.163,7.3453648404168685,13.458834185453092,2.0,Bulls Head,Richmond County
215,Co-op for sale,1088000,5,2.0,900.0,40.719,-73.845,6.803505257608338,13.89985262551525,2.0,Forest Hills,Queens County
